,text
188,Декумаризацияяяяяяяя💨💨💨💨
189,"Дааааа…
У Сектора Дыма есть песня красивая…
Пыхика….
Под нее с кралей самое то пыхать…."
190,"Необъяснимое явление😨
Жесть😳 Этот огромный кальян был найден в Таганроге, на раскопках древней крепости🏰😱 Учёные говорят, что это чудо кумарной техники изобрела легендарная раса Дыморусов🙊✊🏻🇵🇾 Они были 5 метров в высоту, хасанили на тонированных мамонтах и жмыхали десятерное яблоко🤯💨🍎 Даже не верится🤭

Да уж, история хранит много секретов💁🏻‍♂️🤦🏻Ну че братва, харош уже о науке, айда кумарить🤙🏼🤣"
191,"Съемки Кальядина 2 уже идут полным ходом под руководством Гея Ричи😺😺🤙🤙💩. По легенде в этом калике сидит древний Джин, который за плотную 💨💨💨тягу исполнит 3 желания🔞🔞🔞. Ну Кальядин не растерялся🌴🌴🌴, дал тяжку Танджика(tadgik) и загадал ковёр пыхалет✈✈✈."
192,"Ну вы знаете это любимое всеми аниме ""Атака Кальянов"",😳💪в котором люди скрывались за стенами из сгоревшего табачка, потому что снаружи их ждал смертельный пар?💭💭👿 Давным давно, король стен стёр всем память, внушив каждому кенту и каждой крале ложные воспоминания⚠ о том, что за стеной одни враги - гейперы (Gay-Titan). С тех пор люди живут в страхе перед безумными пародуями😢и даже придумали устройство ДУПМ(Дымное устройство пространственного маневрирования) для эффективной обороны стен от злостных гейских 🙀 кумаристов! Пророчество стен гласит, что спасет человечество лишь по настоящему великий кальян с плотнецкой забивулькой давно утерянной за стенами нахлы с виноградом😈💜

-
Ребята, комментарии настоялись - мое почтение! Будто угли третий раз поменял"
193,"🆘⛔🔞Это же 8е (еight) чудо света сразу после лады приоры!🔥🔥🔥 Царь-кальян🔥🔥🔥 Говорят, что его закатили троянцам вместо коня 🐴🐴🐴 Воины побросали оружие, испарители и начали пыхтеть из монстра, обниматься, прижиматься к колбе, запускать колечки!  В итоге их так нахлобучила килотонная забивка 🍎🍎🍎🍎, что пятки оторвать от земли они больше не смогли и впали в кумарную кому (КК) 💨💨💨
До сих пор история помнит, как перед стенами Трои стоял легендарный кальянщик Пыхелес и кричал 🌈Гейпеееер! Гейпеееер!🌈,   оживляя при этом угольки своим острым копьём."
194,"Ай ды Фиксики-Пыхсики 😎😎😎 Ай да молодцы 😉😉😉 Скинул смсочку что с кралей 😼😼😼двигаешь в сторону дома 🏡🏡🏡 А они уже знают своё дело 💣💣💣Угольки поставили 🔔🔔🔔 плотную забивулечку сделали 👹👹👹Фольгу продырявили 🌚🌚🌚 ай да братцы, ай да молодцы! 👴👴👴"
195,"Приезжай в Таганрог, дунем пососеш"
196,"-братишка, можешь отойти?) Я экрана не вижу☺️📺
-ахах😅 а че ты делаешь?
-да пытаюсь в Майнкрафте угля найти для миссии с вертолетиком из ГТА Сан-Кальянос☝🏼🤓🎮
-че⁉️Ты по человечески скажи, а то я ни*хуя не понял внатуре🤣🤦🏻 Лучше зацени какие я колечки четкие пускаю💨🤙🏼😎 Щас калюмбасиком тебя от задротства лечить будем🤣🩺

Малодчик, все правильно сказал👍🏼 В кальянной надо покур мутить, а не в играх зависать😹👏🏻🙈"
197,"Ох, помню своё первое прохождение Нид фор Пых 😍😍😍Дым Вонтед 😎😎😎
Когда приходилось уезжать от мерзких Пыхлецейских 👿👿👿, пытающихся забрать твою последнюю пачку Нахлы 😳😳😳
Прохождение всех 15 боссов игры 👨‍🔬👨‍🔬👨‍🔬 И каждый босс забивал калываныча всё крепче и крепче ⚕⚕⚕
А какие тогда были пых-машины:👍🏻👍🏻👍🏻 Ламборджини Пыхьярдо 💣💣💣 Альфакер Ромео 🔥🔥🔥Щербет Корветт 🍋🍋🍋
Вот были времена 🗣🗣🗣 Мечтаю вернуться туда...😒😒😒"
198,"Ляяяяя какой😂😂😂😂, а я в Пыхтории🏝 завод 🏭создал, по производству каликов🎷 и табачки🏵. Поставочка углей✌🏿 налажена😶‍🌫️😶‍🌫️😶‍🌫️😶‍🌫️😶‍🌫️😤😤😤😤😤"
199,"а парень то не промах! создает дымовые колечки - контрольные точки, помогает нашему гонщику добраться до финиша 🏁"
200,"Фраза ""Блять, я второй"" 😣😣😰 уместна только тогда, когда тебе передают календулу с самой тюнингованной забивулей на двойном яблочке 🤙💨💨🍎🍏. От такого кумара главное не въебаться в ебучую будку 👌👌🏥, а то тебя ещё долго не будет в уличных гонках 🚑🚑🚑🚑🚑
Не гоняйте пацаны, вы ещё матерям нужны, лучше пыхните осторожно 😜🤪"
201,Прогреваем комменты под колпаком
202,"Сказки на новый лад✊🏻🆕
Не поверите, киношники сделали новый ремейк Карлсона😱🧓🏻🚁 Это уже не пухлый коротышка, а нормальный мужик💪🏼😈Живет на крыше и кайфует как честный бродяга😤🤙🏼🏙Варенье он больше не любит, зато теперь забивочку уплетает🍃🤙🏼💨 Ну и пропеллер убрали, чтоб дымок не улетал😀🔝

Нормально получилось) Будет Малыша учить схемам финансовым и как краль заваливать👱🏽‍♀️💸 Ждём в кинотеатрах🙏"
203,"Каликсон, которому сносит крышу (от плотной забивули) 🤪🤪"
204,"Ну с таким можно и плюшки потаскать 😙💨 и мундштучка обуздать😇😜
Главное чтоб после забивули 🍎 пропеллер нормально работал📽 иначе женская аудитория отпадает сразу👎🏻🤢"
205,"-привет,Пыхсон!
-привет,малыш,чем будешь угощать?
-Колюмбасиком
-с чем?
-с двойным яблочком
-Ну нет, это я не дую, что такое, один колюмбасик и двойное яблочко..Лучше так: 8 колюмбасиков..и одна фруктовая тарелка.А?
-поверь мне,Пыхсон,не в колюмбасиках счастье..
-ты что,с ума сошел? а в чем же ещё??
-кралю мне новую..не подарят…
-кого??кралю ?..А как же я?Малыш..ведь я же лучше.лучше крали"
206,"Та всё нормально с вареньем, только Пыхлсон придумал новый способ его уплюхтать 💨💨 - через калюмбулу двойное яблочко🍏🍎 плотненькую забивулю закинул в себя и кайфарики ловит 😜👌, вот и бабушкино варенье пригодилось 😊👍👍"
207,"Ого😹😮 А пацан то магёт🤙🏻🤙🏻 Фрекен Пых дымит в сторонке🖕🏻😤 
Пацан так надудел🌬что стало облачно☁☁😁 
Паря, охлади тр**ние❄ дай людям погулять и насладиться весенним Солнцем🌞
Парни, голову не теряйте☝🏼двойное яблочко(2ble aple🍏🍎) само себя не забьет, но и крали👭сами себя домой не заведут😹☺😉"
208,"-Милая, а что ты делаешь?)
-Смотрю семейные фотографии… Вспоминаю своего деда, он умер недавно🪦😢👴🏿 До сих пор грустно… Я его очень любила💔🙏
-Понятно, ахах😅 Зацени лучше, какие колечки я пусканул💨🤙🏼🌀Харош киснуть) Давай калюмбас бомбанем, милая😎 А там уже и романтик попрёт😏
-Давай)

Вот и прошла драма😆 Молодец пацан - успокоил кралю как надо😈👍🏼 Учитесь, братва😂"
209,"Дедуля👴 небось бывал в советских🇨🇳 кумардировочках😉✈️ на ближний восток👳 многое повидал, и знавал искусство дымных 💨💨 наслаждений😏, и по кралям👯‍♀️ был ого-го😈, когда был молод💪 ну ничего, он своё кумарное🥴 времечко отжил, дымное ему царствие🙏☦️, а пацанчику с кралей👫 и правда надо помянуть старика раскурочкой💨😤. Мирного🤞 дыма💭 вам, друзья🙋🙋‍♂️, память🧠 поколений важна всегда☝️."
210,"Парни, пока комментарии на прогреве 5-8 минут"
211,"Поговаривают, что недавно Дымнекки🍎и Мунштуклетти🍏 объединились в одно целое. Кстати, в честь этого и появился наш любимый🍎🍏. ""Ромео, как жаль, что ты вейпер!"", - говорила Джульетта у Шекспира). Вот так вот, братва. Дружба народов. Обнял!"
212,Как говорил мой дед: «Я твой пыхдед»
213,"Знаете Аладдин🏂🏄 тоже шейхом не сразу стал💫🤴, а только когда волшебный калик🧚🌬️🧞 нашёл, а у нас они в свободном доступе🧑‍🔬 и все равно люди недовольны🧟, спокойнее надо быть🧔,no agression, всем дыма без огня и поменьше горечи. 🤢😏"
214,"Новости кибер-спорта👾🎮
Пацаны, поздравляю) Началась разработка первой кальянной игры👍🏼🔥 Она будет в жанре Kumar Online Battle Arena (KOBA)😱🔝👏🏻 Уже показали концепт-арт первого героя) Его имя Танж (Tunge)‼️Ну какой деловой мужчина😹 Он умеет выпускать из себя жёсткий дымок, а также владеет способностью «Hookah», но ее суть еще неясна😅🤷🏽 Ждём💨🙏

Это будет легендарно😃 Братва, игры это хорошо, но и про реальный мир не забывайте👊🏼😂"
215,"Ооо, the real пудж (танж)😂, притянет пару яблочек 🍏🍎(aples) своим мундштуком
💨😤Дымный киберпокур в логове Рошаша (кальяннауа) для Dot_erov dva😏
Давайте мужыки дружно обнимемся и выпьем по фласочке со вкусом суфле 😚😎
От него не убежишь, потому что он пудж пудж пудж пф пф кц!! (bit boks) 😉😍"
216,Будешь красоткой😍😍 с двойным яблочком во рту🍏🍎
217,В сеть слили💦 фото официального (officiall) мерча 🧸
218,"Оо наконец то игра⚠ для настоящих Дым💨 инсайд players🔞. Взял в mid Cumar💨 fiend🤡, дал 3 мундштукraze пых💭 пых💭 пых💭 ZXC символизирует 3х угольную тягу😏😏. Ты в таверне брателло🆘👆 без двойного яблочка🍏🍎 не возвращаться🤙"
219,главное чтобы роспыхнадзор не заблокировал
220,"Опасные увлечения🆘
Люди в шоке с этой фотки😳 Подумали, что мужика повело не в те степи😨😱⛔️ Сидит, мол, и изучает труд немецкого диктатора Адольфа Жмыхлера «Мой кумар»🙈🙅🏻Ещё и голова бритая как у альфакер-хеда👨🏽‍🦲… Люди, вы че там, еб*анулись🤣🤦🏻Этот парень просто читает и дудонит по царски💨✊🏻 Красавец, без базара)

Братва, мы против национал-пыхтиализма и всего, что с ним связано👎🏼 Осуждаем эту идеологию😤🚫"
221,"Воу😱 брателла, ты аккуратней☝⚠⚠ с идеологией. Так не трудно нарваться на декумаризацию🔥🔞 отправим в твою вип кабинку🇸🇪🤡 Zабивочные войска💂💂🇳🇱"
222,"💨💨💨Пых хайль, слава двойному яблочку 🍏🍏"
223,"Паренёк просто решил покумариться💨 под книгу Фёдора Пыхтевского ""Вейпинг и наказание""🚭 и двойное яблочко (apple)🍎🍏"
224,"Так это же ДымЮрыч он же ""Пыхлин"", голос закумарных фильмов (sinima 📷📷📷). Он ждёт Клим Забивыча чтобы организовать РазведДымос про dabl апле🍅🍐"
225,"Ну вы даёте🤣🤣, видно же, что парень пыхмуннист🇨🇳, и Жмыхлера🙋‍♂️🇩🇪🇦🇹 презирает🤢😤. Наверняка ещё в Союзе Кумарных Пыхтиалистических Республик (СКПР) 🤝🤙💪рождён. Только труды💨📖Дедушки Дымленина👴☝ и Карла Даркса🎅 уважает👊.  Итак, план на пятидневку: намутить 10 забивочек💨💨💨, да с яблочком двойным🍎🍏, и чтобы не филонили тут. Выполнять!✊🤙😤"
226,"Молодёжная культура👫✨
Ну это надо видеть) У подростков новый тренд🆕🤷🏻‍♂️ Теперь у них модно быть «дым-инсайдами»🤨⁉️Сидят в капюшонах, кальян жмыхарят и бубнят, что жизнь у них фиговая💨😰🤦🏻Вот до чего интернет доводит🤣 Слышьте, инсайды хр*еновы😈 Давайте за ум беритесь уже внатуре😹👍🏼

Ничего страшного) Вырастут - с улыбкой себя вспоминать будут☺️ Давайте не дуркуйте, молодые)"
227,"Зачем умирать, если после смерти может не оказаться под рукой кальяндоса с плотнющей забивулей и смачных кралей рядом?"
228,Токийский дымуль 💭💭
229,"Уж лучше пусть будут дым-инсайдерами и дудолят кальдуленцию 🤙🏻💨для здоровья(hellth), чем будут гейперами(🏳️‍🌈🏳️‍🌈🏳️‍🌈) пыхтящими своими электрописьками(cybercocks🤖💦)"
230,"админ епт) ты че в 2010 на школоло осуждать 😂😂😂 ах эти мемы про Форевер пыхлона и мундштук фейса 😜🤪🤓 помню угорал с мема с передачи Пусть Попыхтят  📺 где унесённый крепко 💪 забивочкой Дымген Солнцев ☀️ выдавал приколяндры АДВОКААААТ (как будто ептиль угольки горчинку дали 🤢).
Так что ты это на школоту не нагоняй 😡 мы сами те еще дымеры) 🤣🤣🤣🤣обнял братка, жду новых постов 🐺🐺🐺"
231,Доктор Пыхановский озадачен вопросом дым-инсайдов 🤓
232,"Спасла пацана🥺🙌🏻
Парень впал в дымпрессию… Каждый день читал плохие новости и жестко приуныл😩👎🏼☔️ Уже лёг на рельсы и захотел отойти в мир иной🚇🆘 Но его выручила верная краля🙏 Срочно ввела ему инъекцию дымоглобина и убрала тоску👩🏻👏🏼🌟
А там и шпили-вили не за горами😏🔞 Жестят😈

Эта история пробивает на слезу😭 Ничего братва, не унываем) Кальянчик - лучшее средство от душевных мук💨😇"
233,"Дымная терапия Пыховского👨‍🔬, слышал про такую🤓🤓🤓"
234,вы не понимаете 🤨🤨🤨 он просто ждал 👣⏳ свежую поставочку 🚄 двойного (double) 🚀 яблочка (iPhone) 🍎🍏 чтобы прям с пыхинистом 🚂 раскумариться 😤😤 и кралю 🧍‍♀️ сообразить 🧠 на двоих 👨‍👨‍👧
235,"Тупые 😑😑 пиндосы (vapers) могут отобрать у русского 🇷🇺🇺🇦🇧🇾 народа импортные товары 💩💩, но им не отобрать у нас 😎😎 напых и кайфули 🤤🤤
Миру мир ребзи! ✌🏻✌🏻"
236,Девули 💅 Спасайте (save) 🙏 пацанов 😈 ведь без вас 😓 мы просто мальчишки 🤥 а с вами 👫 настоящие мужчины. 😎 Всем кралям двойного яблочка 🍎 🍏 в этот чудесный день. 🌝
237,"Граждане России!🇷🇺🇷🇺 📢Прямо сейчас на территории Украины🇺🇦 ⚠происходит процесс девейпизации 🌈и депаромизации💭💭💥❗. Целью вторжения наших отважных кальянных⚔🔨👓 войск является уничтожение опасных неогейперов🐷, угрожающих нашей стране. Батальоны с дарксайдиком👌🏻🌘🐾 уже в пути, братва!👊🏻 Закумарим же за жизни наших близких🗣💭🙏🏻🙏🏻"
238,"Братва, зацените что наш друган подписчик сделал) Ну это уже синематографический шедевр, е*пт⭐️🎬 Смело отправляем на международный фестиваль кумарометражного кино «Уголёк»😎👍🏼🏆 Первое место обеспечено💨🥇

В благодарчик за такой видеоряд переходите по ссылке на его ютуб-канал📹😃 Сделает вам чёткий монтаж) Поддержим пацана😈"
239,"Ого, это что-то на уровне Тарапыхтино, а может даже и выше ⬆️ ⬆️ ⬆️"
240,Это же новый Пыхмур Кумарбетов💪💪💪. Удачи ему и развития в творчестве👍
241,"ребята, я считаю, это просто верх пыхскусства (art)😍😍😍Добавить немного дохи в забивочку не помешает ахах😅😅. Изменит качество пыхреходов (changeover) между кадрами 👉🏻👈🏻 и вообще цены этому умельцу не будет🤙🏻"
242,"Хахах, по привычке (whatever😔) на середину перемотал (sexyhookah😉), а оказалось, что это документальный фильм, ну а че расстраиваться😒, расчехлил свою палку (big😎😎😎) тоже"
243,"слова🤫 песни 📢 для глухих ⚠ пыхчариков: 💭
""это всё мне на чеух шина шина
захно врени спиной
вени моих кина кина
у-на-на-на
шехи мени шиноч шиноч
захно врени спиной
вени моих кина кина
у-на-на-на"""
244,"-Брат, куда ты собрался?
-Да так, хочу погонять🏁
-Но зачем тебе три мотоцикла, брат?
-Я жду своих братьев😈 Украинца и Белоруса🤝👨‍❤️‍👨 Втроем мы гоним как надо☝🏼😎

Правильно говорит) Вместе мы сила палюбому да😼Восточно-славянские кумарные братишки😤👍🏼 Ай как дымит, ты братанам оставь табака брат🙈💨🙏 Бывают и братские ссоры, но они чисто по братцки решаются✊🏻"
245,"Братишки да крали, не гоже из-за Дымбасса ссориться 😨😨 Че злые такие 😜😜
Народный покур собрать 💭💭, да почикибрыкать угольками 🌑🌑
Одним дымом дышим, кумаряне 😊😊. Мирно надо жить ✌🏻✌🏻"
246,Эх вот бы наши пацаны👍🖖😬😍володька с володькой😐💯 сели да дали по кальджубасу😉😅👃 пообщались покумекали🐺🤙🐺 а не вот это гомно военное😳🤦‍♂️🤷‍♂️😦
247,"Тебя давно не было в каликовых 🔥💨гонках(racism)🏁🏁🏁... 
Заходи, забьем добл aple🍏🍎"
248,пыхоружённый кайфликт на кумарине☝💨💨
249,"Единственный паблик который адекватно отреагировал на новости в мире. Респект однозначно, плотного Кумара)"
250,"Мистические ритуалы🔮✨
Ай да пухлый) Подул десяток кальянчиков и словил нехилый кумарный дзен😆👍🏾 Буддымзом увлёкся, епт*ыть🕉👁🙏 Говорит, все пацаны, я сознание расширяю) Куда тебе еще шире то, пухлый🤣 Таким макаром можно не дзен, а перепых словить🧏🏼‍♂️💨 Тогда уже не оклемаешься…

Ну прям сюжеты с рен-тв😅 Кумарить в меру надо) Братва - вас ждут дома☝🏼Сильно не гоните 😈"
251,"Ай да Буддымз!☢️🕉✡️
А ведь основал его Сидхартха Кумартама Шакдымуни!!!!👹
Клевый был кумарный мудрец!!!🥸
И первый кто попал в Дымрвану!!!😶‍🌫️"
252,"🤔 Нихрена у него колба (puzo) спереди с пельмешками (maN Whot The Fak) 🤣😈😁
Повелитель майнезного вкуса MasThEV и кетчупова вкуса Adalia 🤗☺☺
Как замиксует это плотненько в кетчунезный кальян на кефире (для польzы) 🙃😃
Вот здорово будет, и покушал и покурил и похудел (не факт) 👍🏻👍🏻👍🏻😎"
253,"В смысле?😐😐😐 Это же барапыхная🎸 установка группы Pyhowolf! 🐕🐕 На фотографии 📷📹 их вокалист Пыхтила Дымн ☁☁, собирается с силами перед надымлением💭 нового кальбома «Double🍎🍏 Appl of the Beast» ☝☝Ну вот, а говорят метал умер)) 🤘🤘🤘🤘"
254,"Когда-то давно старый (ded) кальянщик 👨🏻‍🦳💨открыл своему внуку одну жизненную истину 🕉 (true).
— В каждом человеке идет борьба (fight), очень похожая на борьбу дыма (smoke)💨 и пара (gay)🏳️‍🌈. 
Пар🏳️‍🌈🤢 представляет зло — гейство(vape) и вейперов (gayper)... Дым 💨 представляет добро (peace) ❤️— мир🍏, любовь (apple)🍎, надежду☝️, истину😍, доброту😅, верность🙌...
Маленький буддыст🕉☯️💨, тронутый до глубины души словами кальянщика 👨🏻‍🦳💨, на несколько мгновений задумался, а потом спросил:
— А кто в конце побеждает (win)?
Старый кальянщик 😅💨едва заметно улыбнулся и ответил:
— Всегда побеждает(win) тот, кого ты забиваешь двойным яблочком (double apple)🍏🍎"
255,Он не пухлый😳 это он столько дыма в лёгкие набрал😤👍💪💪💭💭💨
256,"Женское коварство🥵
Бедный слепой пацан😣 Стоит и спокойно пыхает чёткий дымок💨☺️ Но вдруг это увидела хитрая краля🤦🏼‍♀️ Взяла и тихонько подсосалась к мундштуку, пока парнишка отдыхает🤬😱🙈 Ай да шельма, ну вы гляньте) Ну ниче, у слепых отличный слух☝🏼Щас он услышит бульканье колбы и влупит воровке👊🏼😂

Да уж) Одним словом - бабы😅 Что только им в башку не придёт🤣 Шутка, все полы равны🥰⚖️"
257,"Нужно быть аккуратнее (carefully)😑, а не то краля(woman)💃 вцепится😱 в его двойное яблочко🍎🍏(balls)"
258,"Слыш, краля (gёrl), харе мундштучеллу челембякать 😠🙊, это тебе не соска  нах_рен 🆘, чувачок то сгорит и начнет горчить (fire) 🥴🤮 кто его шланг продувать потом будет 🤡
Правильно.. верный друг кальянщик Леха ай-курит 👩‍⚕️🚑"
259,"Братва😅😅😅не забывайте, что ещё Напас Христосов🏄🏼‍♂️🏄🏼‍♂️🏄🏼‍♂️ или как там его....😅😅 завещал нам: помоги🚑🆘 ближнему своему🤲🏻🤕 даже если это краля😜😜
Извиняйте кого оскорбил😳😷😵"
260,"Это же Дьявол Адского Мундштука - Жмыхдевил! Один из супер героев Кальянвела,кстати"
261,"🆒🆘🆘🆘Предварительное👺 расследование👀 показало🧤🔞, что это опасная⚡🕶🐍(danger) , ранее много раз 1⃣0⃣0⃣5⃣0⃣0⃣неоднократно (mach) задымляемая 💨 при различных обстоятельствах🕺🕺💃🕺🕺 кальянная краля (milf) 👑, более известная в узких кругах, как Присосаева-Пыхчанская.🤪🥺👸 Играет сразу за всех.🍑🍭🍙🍗🍸🚭 Также замечена  в компании с вейперами. ✅.😤☠ Осторожнее будь, друг(frient)💂. Береги мундштук смолоду! 👆👶🤝"
262,"-Мишуль, помассируй мне ножки🙏💖
-Фу, ну ты пратииивный, у тебя там натоптыши, не буду я их массировать🤢🦶🏽🚫

Мужики, че за балет🤬 Какой массаж, какие ещё натоптыши😱⁉️ Вы че, а*хуели что ли ептыть🤣 А ну ка быстро табачары навалили) Кальянчик мигом вам мозги вправит💨👊🏼 А после покура к кралям бегом марш👩🏻🏃‍♂️ У них там по кайфу все будет😅 После такой терапии любой пацаном станет😈😎"
263,Дыматая гора💨💨💨🍎🍏👆🏻👌🏻
264,"Я за ЛГБТ 🏳‍🌈️
Л - лёгкая 😎
Г - глубокая 😮
Б - бронебойная 😵
Т - тяга 😚💨"
265,Пацаны главное братский мундштук не брать в рот понимаете дымная гигиена
266,"Дымосексуалы)
Ладно, мы толерантны. Главное, не вейпосексуалисты"
267,"скиньте уголёк с комментов, гарик идёт"
268,"Историческая личность☝🏼🤓
Великий граф Жмыхъ Николаевич Толстой😱 Брат известного русского писателя) Именно он создал формулу табачка двойное яблоко🍎🍏 До сих пор никто не разгадал его уникальный рецепт📜🤫🧬 Этот табак был таким ядреным, что даже сам Жмыхъ Николаевич немного обезумел от накурки😰💨…

Да уж, удивительно) Говорят, из-за этого табачка началась Первая Мировая🤯🙀 Ну ниче, главное что сейчас все спокойно🙏 Давайте пыхнем за это)"
269,"А я думал, что формулу двойного яблочка придумал Иисак Пыхтон, когда яблочко упало ему на его кумарную голову…."
270,"Ахах дааа помню его книгу «Война и пых»😉😉😉😉😆
Всем чёткого кумара братва!😊😊😊"
271,Первая паровая 💨
272,5-8 минут и комментарии прогреются
273,"Ну какой он Толстой? Николаевич Плотный 💨💨 (забивчик двойного яблочка🍎🍏) мужик на спорте💪💪 калюмбулу давит😎😎, а его уже в жиробасы записали - не круто! 😨😨"
274,"Лучшее начало года👏🏼✨
Поздравляем😃 Наши спортпыхари победили на Дымной Олимпиаде 2022🥇😱🏆 Забрали все медали) Мужики красавцы, всех сделали💪🏼😎 Победили в мундштучном фехтовании🤺, выдувании колечек на скорость🎯🌬 и в греко-римской накурке🤙🏼💨🏛 Встречаем чемпионов🤩

Молодцы, нечего сказать) В такие моменты берет гордость за родную страну🙏🇱🇺🔝Братва, не забывайте о спорте)"
275,"3 Богапыхаря 👹👹👹
Илья Мундштукович 😏😏😏
Добрыня Никотиныч 😹😹😹
Алёша Пыхович 😎😎😎
Сейчас пойдут бороться со злом 😡😡😡 Угарыч Змей опять перегрел все угольки 😓😓😓 И испортил вкусный покур нашим парням 💣💣💣
Ну держись, рептилия 🔔🔔🔔 РУССКИЕ ИДУТ 🇭🇷🇭🇷🇭🇷"
276,"Братка, слушай мою телегу😎 Спорт не бухло, тут здоровье надо!💪 Забивай  калик на протеине 🍶Тогда масса попрет 😡 И кенты твои скажут респект пыхач💨  будешь много ТЯНУТЬ!!! станешь чемпионом по пауэрпыхтингу!!! Когда качки с зала предложат мундштучеллу в душе почелембякать, не поддавайся соблазну 🔞, ты же не гейпер ⛔ Братка поверь твоя краля тоже ищет тебя, все будет 🔥🔥🔥"
277,"Россия пыхтерская 🌬🌬🌬 наша держава! 🇵🇭🇵🇭🇵🇭
А вы говорите страна разваливается🏢💣🏢, только на таких богатырях 🐗🐗🐗 и держится✊🏻🖕🏻💪🏻
А вы что думали, пыхнул и всё?👶 КМС по пыху?🥺 Это же не гейпры 🙅‍♂🙅‍♂, тут лёгкие нужны🧞‍♂
Спасибо вам сынки!👨‍⚕
Надеюсь каждый получит по заслугам (🍎🍏) А не эти ваши погремушки 🥉🥈🥇"
278,"Олимпиада 2022 в Пыхтунёво (Аргентина) столица пыха и дымных гонок🚴💨🏋‍♀️💨🚣💨🏃
Был проездом, ребята не на шутку готовятся, если бы не травма тоже выступал, но здоровье больше оставишь, проф.спорт он такой.
Всем здоровья и лёгкой(Easy) тяги-бродяги 🐅🐗🐺
Не смотря на тяжёлые(Hard) условия, вне родного края показали высокие(Up) результаты, на морально волевых так сказать.
1. Дымный заезд ""Тур Дэ Пых""
В нем уверенную победу одержал Юноша 2015 года рождения. Кемерово ""Густов Дмитрий Дыхович""
2. Силовой Покур (троеборье)
Поздравляем со вторым местом земляка с Кургана ""Кумарова Олега Табаковича""
3. Затяжной выдох  с препятствиями
Чуть-чуть не дотянул ""Жмыхов Кирилл Угарович"" уроженец города Пахчули, но это его первые соревнования такого уровня."
279,Ребята молодцы☝пахари-пыхари🙏
280,"Главное не унывать✊🏻😭
Бедный казахский пацан…. Во время протестов банда вейперов-мародёров разнесли его любимую кальянную🤯🤬💥Но он не опускает голову👍🏾 Взял и замутил лаундж прямо на улице) А че, табачок, кальджубас, пара краль и вуаля😁💨 Кальянная это не место на карте, это место в сердце❤️

Да уж, золотые слова☝🏼Казахстан, мы с вами🙏🇦🇷 Держитесь там, братья… Уважение😈"
281,Назарпых
282,"Братья казахи, вам в помощь были направлены российские миротворческие кумарные силы 💨💨

Уже сейчас наши кальнящики 😎😎 освобождают ключевые кальянные города (big city life) 🌃🌃
Вандалов гейперов выбивают точечными ковровыми забивочками двойного яблочка 🍏🍎

Президент Пыхтин 🥸🏰выразил крайнюю обеспокоенность, нехваткой углей (nigg*rs)🤲🏾 у населения.

Народ России с вами 💪🇷🇺🇹🇯💪🏿"
283,у него аж от двойного яблочка🍎🍏глаза сузились. 😐💨 👍🏻
284,Пыхестан
285,"Да хуля нам тюрьма у нас в голове кальян🥳
Уважуха братишке казахпыхскому 👾
Не поддался на провокации гейперов 💜
Вот он мирный плотный двойной протест 🍀🍀
А вы и дальше любите своих натобоев они ведь такие крутые(нет) 🦞
Держись, Джет Ли Кумарбеков , мы Вас не бросим, всегда последний уголь отдадим если надо будет 😎
🇷🇺Всем Плотных братва, Ампылда 🇷🇺"
286,"Праздничные приколы🎉🍾
Подписчик удивил) Прислал фотку американской приблуды) Пиндосы решили с детства приучать к кальянчику мелких пендосят😄👍🏾Карапузы теперь вместо тихого часа двойное яблочко пыхтят🍎👏🏼🍏 Главное без палева💨🤫А то воспиталка мужик суровый⛔️🧔🏻‍♀️⚧ Чуть что, сразу сержантский пендель отвешивает🥵🙈

Нормальная идея для подарка🎁 Братва, а вам че на Новый год подарили?) Рассказывайте, ахах😅"
287,"Ох, вернутся бы в прошлое, на пыхий час…."
288,"Правильно говорят (take) 💬🤪, что уму разуму 🧠 надо приучать с детства 👶. Юные американцы 🇹🇷 растут на таких героях 🕵‍♂, как человек-кальян 🧞‍♂, капитан нахла 💪🏻, суперуголь 👀. Молодцы пендосы 👍🏻👍🏻👍🏻"
289,Не удивительно🧠Американцы🇬🇷 с детства привыкшие к документальному кино 📹Пыхтим дома💨💨🏰 где отважный юный натурал Кевин Пыхалистер 👩‍🦲отбивается от двух гейперов 👴🏻🧔‍♀️которые решили выкрасть из его родительского очага 👨‍👨‍👦‍👦секрет правильной забивки двойного яблока🍎🍏но обламываются получая жёсткий отпор от настоявшихся углей💯
290,"Полюбуйтесь🌚🌚 что друзья👴 (bros) мне подарили на НГ🎄 (New Year).
⚠⚠Вот вам пример ⚠⚠как из-за гребанной пендосии🇺🇲🇺🇲  можно лишиться и любимой кайфухи💭💭 (kalyanchik) и всех друзей🐓🐓 (gays).
🆘🆘🆘"
291,Все в этом пиндостане все через ass (чуть выше🦵🏻)
292,"🎄С наступающим праздником🎄
Братва🥰 С наступающим Новым годом вас🎉🎅🏼 Пусть в 2022 году ваша забивка станет еще крепче и забористее, а крали ещё сисястее🙏😏😈 Спасибо вам, что поддерживаете паблик «Калик)» весёлыми комментариями и тёплым дымком💨🤙🏼 Всем счастья и здоровья) Еба*нем в 2022 году🤩

Остаёмся на связи, кальянщики) Знатно покумарим в новогоднюю ночь😤🌠 Главное чтоб на утро перепыха не словить🤣"
